,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Batsman
0,16,16,28,57.14,0,0,Sri Lanka,Melbourne,Aaron Finch 
1,4,4,15,26.66,0,0,Sri Lanka,Adelaide,Aaron Finch 
2,10.0,10,6,166.66,1,0,West Indies,Perth,Aaron Finch 
3,11,11,22,50.0,2,0,West Indies,Perth,Aaron Finch 
4,38,38,41,92.68,5,0,West Indies,Canberra,Aaron Finch 
5,25.0,25,30,83.33,5,0,West Indies,Sydney,Aaron Finch 
6,1,1,5,20.0,0,0,West Indies,Melbourne,Aaron Finch 
8,45.0,45,45,100.0,4,1,England,Manchester,Aaron Finch 
9,-1,0,0,0.0,0,0,England,Birmingham,Aaron Finch 
10,0.0,0,1,0.0,0,0,England,Cardiff,Aaron Finch 
11,26,26,32,81.25,6,0,England,Southampton,Aaron Finch 
12,72.0,72,79,91.13,8,3,India,Pune,Aaron Finch 
13,50.0,50,53,94.33,7,1,India,Jaipur,Aaron Finch 
14,38,38,44,86.36,6,0,India,Mohali,Aaron Finch 
15,5.0,5,10,50.0,1,0,India,Ranchi,Aaron Finch 
16,20.0,20,28,71.42,3,0,India,Nagpur,Aaron Finch 
17,5.0,5,5,100.0,1,0,India,Bengaluru,Aaron Finch 
18,121,121,128,94.53,12,0,England,Melbourne,Aaron Finch 
19,0.0,0,3,0.0,0,0,England,Brisbane,Aaron Finch 
20,22,22,20,110.0,3,0,England,Sydney,Aaron Finch 
21,108.0,108,111,97.29,8,4,England,Perth,Aaron Finch 
22,7,7,16,43.75,1,0,England,Adelaide,Aaron Finch 
24,102.0,102,116,87.93,9,1,South Africa,Harare,Aaron Finch 
26,16,16,36,44.44,1,0,South Africa,Harare,Aaron Finch 
27,54.0,54,87,62.06,5,0,South Africa,Harare,Aaron Finch 
28,0.0,0,1,0.0,0,0,Pakistan,Sharjah,Aaron Finch 
29,14,14,12,116.66,3,0,Pakistan,Dubai (DSC),Aaron Finch 
30,18,18,34,52.94,3,0,Pakistan,Abu Dhabi,Aaron Finch 
31,35.0,35,40,87.5,4,1,South Africa,Perth,Aaron Finch 
32,8,8,14,57.14,0,1,South Africa,Perth,Aaron Finch 
33,109.0,109,127,85.82,9,3,South Africa,Canberra,Aaron Finch 
34,22,22,37,59.45,2,0,South Africa,Melbourne,Aaron Finch 
35,76.0,76,67,113.43,11,0,South Africa,Sydney,Aaron Finch 
36,15,15,18,83.33,3,0,England,Sydney,Aaron Finch 
37,96.0,96,127,75.59,5,2,India,Melbourne,Aaron Finch 
38,32.0,32,32,100.0,3,0,England,Hobart,Aaron Finch 
39,-1,0,0,0.0,0,0,India,Sydney,Aaron Finch 
40,0.0,0,3,0.0,0,0,England,Perth,Aaron Finch 
41,135.0,135,128,105.46,12,3,England,Melbourne,Aaron Finch 
42,14,14,7,200.0,1,1,New Zealand,Auckland,Aaron Finch 
43,4,4,9,44.44,0,0,Afghanistan,Perth,Aaron Finch 
44,24.0,24,24,100.0,3,0,Sri Lanka,Sydney,Aaron Finch 
46,2,2,5,40.0,0,0,Pakistan,Adelaide,Aaron Finch 
47,81,81,116,69.82,7,1,India,Sydney,Aaron Finch 
48,0.0,0,5,0.0,0,0,New Zealand,Melbourne,Aaron Finch 
49,53,53,60,88.33,8,0,England,Manchester,Aaron Finch 
50,15,15,27,55.55,2,0,England,Leeds,Aaron Finch 
51,70*,70,64,109.37,11,1,England,Manchester,Aaron Finch 
52,8,8,11,72.72,1,0,India,Perth,Aaron Finch 
53,71,71,81,87.65,7,1,India,Brisbane,Aaron Finch 
54,21,21,23,91.3,3,0,India,Melbourne,Aaron Finch 
55,107,107,107,100.0,9,2,India,Canberra,Aaron Finch 
56,6,6,6,100.0,1,0,India,Sydney,Aaron Finch 
57,19,19,30,63.33,4,0,West Indies,Providence,Aaron Finch 
58,72.0,72,103,69.9,6,3,South Africa,Providence,Aaron Finch 
59,13,13,28,46.42,2,0,South Africa,Basseterre,Aaron Finch 
60,0.0,0,1,0.0,0,0,West Indies,Basseterre,Aaron Finch 
61,-1,0,0,0.0,0,0,South Africa,Bridgetown,Aaron Finch 
62,16,16,11,145.45,3,0,West Indies,Bridgetown,Aaron Finch 
63,47,47,41,114.63,6,1,West Indies,Bridgetown,Aaron Finch 
64,56.0,56,46,121.73,7,2,Sri Lanka,Colombo (RPS),Aaron Finch 
65,4,4,7,57.14,0,0,Sri Lanka,Colombo (RPS),Aaron Finch 
66,30.0,30,29,103.44,3,1,Sri Lanka,Dambulla,Aaron Finch 
67,55.0,55,19,289.47,8,3,Sri Lanka,Dambulla,Aaron Finch 
68,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Aaron Finch 
69,33,33,28,117.85,4,2,South Africa,Centurion,Aaron Finch 
70,1,1,5,20.0,0,0,South Africa,Johannesburg,Aaron Finch 
71,53,53,34,155.88,3,4,South Africa,Durban,Aaron Finch 
72,2,2,3,66.66,0,0,South Africa,Port Elizabeth,Aaron Finch 
73,19,19,40,47.5,3,0,South Africa,Cape Town,Aaron Finch 
74,0.0,0,1,0.0,0,0,New Zealand,Sydney,Aaron Finch 
75,19,19,34,55.88,2,0,New Zealand,Canberra,Aaron Finch 
76,3,3,8,37.5,0,0,New Zealand,Melbourne,Aaron Finch 
77,4,4,7,57.14,0,0,New Zealand,Auckland,Aaron Finch 
78,56.0,56,64,87.5,5,2,New Zealand,Hamilton,Aaron Finch 
79,8,8,18,44.44,0,0,New Zealand,Birmingham,Aaron Finch 
80,19,19,27,70.37,3,0,Bangladesh,The Oval,Aaron Finch 
81,68.0,68,64,106.25,8,0,England,Birmingham,Aaron Finch 
82,124.0,124,125,99.2,12,5,India,Indore,Aaron Finch 
83,94,94,96,97.91,10,3,India,Bengaluru,Aaron Finch 
84,32.0,32,36,88.88,6,0,India,Nagpur,Aaron Finch 
85,107,107,119,89.91,10,3,England,Melbourne,Aaron Finch 
86,106.0,106,114,92.98,9,1,England,Brisbane,Aaron Finch 
87,62.0,62,53,116.98,3,3,England,Sydney,Aaron Finch 
88,19,19,24,79.16,2,0,England,The Oval,Aaron Finch 
89,0.0,0,4,0.0,0,0,England,Cardiff,Aaron Finch 
90,20.0,20,19,105.26,0,2,England,Nottingham,Aaron Finch 
91,100.0,100,106,94.33,6,3,England,Chester-le-Street,Aaron Finch 
92,22,22,17,129.41,3,1,England,Manchester,Aaron Finch 
93,5.0,5,17,29.41,0,0,South Africa,Perth,Aaron Finch 
94,41,41,63,65.07,4,0,South Africa,Adelaide,Aaron Finch 
95,11,11,15,73.33,1,0,South Africa,Hobart,Aaron Finch 
96,6,6,11,54.54,0,0,India,Sydney,Aaron Finch 
97,6,6,19,31.57,0,0,India,Adelaide,Aaron Finch 
98,14,14,24,58.33,1,0,India,Melbourne,Aaron Finch 
99,0.0,0,3,0.0,0,0,India,Hyderabad (Deccan),Aaron Finch 
100,37,37,53,69.81,5,1,India,Nagpur,Aaron Finch 
101,93,93,99,93.93,10,3,India,Ranchi,Aaron Finch 
102,0.0,0,2,0.0,0,0,India,Mohali,Aaron Finch 
103,27,27,43,62.79,4,0,India,Delhi,Aaron Finch 
104,116,116,135,85.92,8,4,Pakistan,Sharjah,Aaron Finch 
105,153*,153,143,106.99,11,6,Pakistan,Sharjah,Aaron Finch 
106,90.0,90,136,66.17,5,1,Pakistan,Abu Dhabi,Aaron Finch 
107,39,39,42,92.85,5,1,Pakistan,Dubai (DSC),Aaron Finch 
108,53,53,69,76.81,2,2,Pakistan,Dubai (DSC),Aaron Finch 
109,112.0,112,119,94.11,9,0,Australia,Dubai (DSC),Abid Ali
110,0.0,0,1,0.0,0,0,Australia,Dubai (DSC),Abid Ali
111,-1,0,0,0.0,0,0,England,Leeds,Abid Ali
112,-1,0,0,0.0,0,0,West Indies,Dublin (Malahide),Abu Jayed
114,-1,0,0,0.0,0,0,New Zealand,Wellington,Adam Zampa
115,2,2,11,18.18,0,0,New Zealand,Hamilton,Adam Zampa
116,-1,0,0,0.0,0,0,West Indies,Providence,Adam Zampa
117,0.0,0,1,0.0,0,0,South Africa,Providence,Adam Zampa
118,-1,0,0,0.0,0,0,South Africa,Basseterre,Adam Zampa
119,-1,0,0,0.0,0,0,West Indies,Basseterre,Adam Zampa
120,5.0,5,6,83.33,0,0,West Indies,Bridgetown,Adam Zampa
121,-1,0,0,0.0,0,0,Sri Lanka,Colombo (RPS),Adam Zampa
122,5.0,5,16,31.25,0,0,Sri Lanka,Colombo (RPS),Adam Zampa
123,5*,5,6,83.33,1,0,Sri Lanka,Dambulla,Adam Zampa
124,-1,0,0,0.0,0,0,Sri Lanka,Dambulla,Adam Zampa
125,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Adam Zampa
127,12,12,19,63.15,1,0,South Africa,Centurion,Adam Zampa
128,8,8,11,72.72,0,1,South Africa,Johannesburg,Adam Zampa
129,-1,0,0,0.0,0,0,South Africa,Durban,Adam Zampa
130,5.0,5,4,125.0,1,0,South Africa,Port Elizabeth,Adam Zampa
131,6*,6,8,75.0,0,0,South Africa,Cape Town,Adam Zampa
132,2*,2,2,100.0,0,0,New Zealand,Sydney,Adam Zampa
133,-1,0,0,0.0,0,0,Pakistan,Sydney,Adam Zampa
134,-1,0,0,0.0,0,0,Pakistan,Adelaide,Adam Zampa
135,1,1,5,20.0,0,0,New Zealand,Hamilton,Adam Zampa
136,-1,0,0,0.0,0,0,Bangladesh,The Oval,Adam Zampa
137,0.0,0,3,0.0,0,0,England,Birmingham,Adam Zampa
138,5*,5,4,125.0,0,0,India,Chennai,Adam Zampa
139,-1,0,0,0.0,0,0,India,Bengaluru,Adam Zampa
140,-1,0,0,0.0,0,0,India,Nagpur,Adam Zampa
141,-1,0,0,0.0,0,0,England,Melbourne,Adam Zampa
142,-1,0,0,0.0,0,0,England,Sydney,Adam Zampa
143,-1,0,0,0.0,0,0,England,Adelaide,Adam Zampa
144,11,11,17,64.7,1,0,England,Perth,Adam Zampa
145,22,22,24,91.66,2,0,South Africa,Adelaide,Adam Zampa
146,0.0,0,3,0.0,0,0,South Africa,Hobart,Adam Zampa
147,8,8,14,57.14,0,0,India,Melbourne,Adam Zampa
148,-1,0,0,0.0,0,0,India,Hyderabad (Deccan),Adam Zampa
149,2,2,2,100.0,0,0,India,Nagpur,Adam Zampa
150,-1,0,0,0.0,0,0,India,Ranchi,Adam Zampa
151,-1,0,0,0.0,0,0,India,Mohali,Adam Zampa
152,-1,0,0,0.0,0,0,India,Delhi,Adam Zampa
153,-1,0,0,0.0,0,0,Pakistan,Sharjah,Adam Zampa
154,-1,0,0,0.0,0,0,Pakistan,Sharjah,Adam Zampa
155,-1,0,0,0.0,0,0,Pakistan,Abu Dhabi,Adam Zampa
156,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Adam Zampa
157,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Adam Zampa
159,31*,31,23,134.78,4,0,Australia,The Oval,Adil Rashid
160,4,4,5,80.0,1,0,Australia,Lord's,Adil Rashid
161,18,18,9,200.0,3,0,Australia,Nottingham,Adil Rashid
162,-1,0,0,0.0,0,0,South Africa,Centurion,Adil Rashid
164,69,69,50,138.0,7,2,New Zealand,Birmingham,Adil Rashid
165,34,34,26,130.76,6,0,New Zealand,The Oval,Adil Rashid
166,0.0,0,1,0.0,0,0,New Zealand,Southampton,Adil Rashid
167,-1,0,0,0.0,0,0,New Zealand,Nottingham,Adil Rashid
168,12*,12,9,133.33,2,0,New Zealand,Chester-le-Street,Adil Rashid
169,11,11,11,100.0,2,0,Australia,Southampton,Adil Rashid
170,2,2,8,25.0,0,0,Australia,Lord's,Adil Rashid
171,1*,1,1,100.0,0,0,Australia,Manchester,Adil Rashid
172,-1,0,0,0.0,0,0,Australia,Leeds,Adil Rashid
173,35*,35,45,77.77,5,0,Australia,Manchester,Adil Rashid
174,7,7,13,53.84,0,0,Pakistan,Abu Dhabi,Adil Rashid
175,-1,0,0,0.0,0,0,Pakistan,Abu Dhabi,Adil Rashid
176,-1,0,0,0.0,0,0,Pakistan,Sharjah,Adil Rashid
177,-1,0,0,0.0,0,0,Pakistan,Dubai (DSC),Adil Rashid
178,2,2,3,66.66,0,0,South Africa,Bloemfontein,Adil Rashid
179,-1,0,0,0.0,0,0,South Africa,Port Elizabeth,Adil Rashid
180,13*,13,8,162.5,1,1,South Africa,Centurion,Adil Rashid
181,39,39,26,150.0,5,0,South Africa,Johannesburg,Adil Rashid
182,9,9,8,112.5,2,0,South Africa,Cape Town,Adil Rashid
183,-1,0,0,0.0,0,0,Sri Lanka,Nottingham,Adil Rashid
184,-1,0,0,0.0,0,0,Sri Lanka,Birmingham,Adil Rashid
185,-1,0,0,0.0,0,0,Sri Lanka,Bristol,Adil Rashid
186,-1,0,0,0.0,0,0,Sri Lanka,The Oval,Adil Rashid
187,-1,0,0,0.0,0,0,Sri Lanka,Cardiff,Adil Rashid
188,-1,0,0,0.0,0,0,Pakistan,Southampton,Adil Rashid
189,-1,0,0,0.0,0,0,Pakistan,Lord's,Adil Rashid
190,-1,0,0,0.0,0,0,Pakistan,Nottingham,Adil Rashid
191,-1,0,0,0.0,0,0,Pakistan,Leeds,Adil Rashid
192,-1,0,0,0.0,0,0,Bangladesh,Dhaka,Adil Rashid
193,33*,33,44,75.0,1,1,Bangladesh,Dhaka,Adil Rashid
194,-1,0,0,0.0,0,0,Bangladesh,Chattogram,Adil Rashid
195,-1,0,0,0.0,0,0,India,Pune,Adil Rashid
196,-1,0,0,0.0,0,0,West Indies,North Sound,Adil Rashid
197,-1,0,0,0.0,0,0,West Indies,North Sound,Adil Rashid
198,9,9,3,300.0,0,1,West Indies,Bridgetown,Adil Rashid
201,-1,0,0,0.0,0,0,South Africa,Leeds,Adil Rashid
202,-1,0,0,0.0,0,0,South Africa,Southampton,Adil Rashid
203,0.0,0,1,0.0,0,0,South Africa,Lord's,Adil Rashid
204,12,12,11,109.09,1,0,New Zealand,Cardiff,Adil Rashid
205,-1,0,0,0.0,0,0,Australia,Birmingham,Adil Rashid
206,7,7,13,53.84,0,0,Pakistan,Cardiff,Adil Rashid
207,-1,0,0,0.0,0,0,West Indies,Manchester,Adil Rashid
208,-1,0,0,0.0,0,0,West Indies,Nottingham,Adil Rashid
209,9*,9,3,300.0,2,0,West Indies,Bristol,Adil Rashid
210,-1,0,0,0.0,0,0,West Indies,The Oval,Adil Rashid
211,-1,0,0,0.0,0,0,West Indies,Southampton,Adil Rashid
212,-1,0,0,0.0,0,0,Australia,Melbourne,Adil Rashid
213,-1,0,0,0.0,0,0,Australia,Brisbane,Adil Rashid
214,-1,0,0,0.0,0,0,Australia,Sydney,Adil Rashid
215,7,7,8,87.5,1,0,Australia,Adelaide,Adil Rashid
216,12,12,16,75.0,1,0,Australia,Perth,Adil Rashid
217,-1,0,0,0.0,0,0,New Zealand,Hamilton,Adil Rashid
218,-1,0,0,0.0,0,0,New Zealand,Mount Maunganui,Adil Rashid
219,11,11,8,137.5,2,0,New Zealand,Wellington,Adil Rashid
220,11,11,12,91.66,1,0,New Zealand,Dunedin,Adil Rashid
221,-1,0,0,0.0,0,0,New Zealand,Christchurch,Adil Rashid
223,-1,0,0,0.0,0,0,Australia,The Oval,Adil Rashid
224,0*,0,0,0.0,0,0,Australia,Cardiff,Adil Rashid
225,-1,0,0,0.0,0,0,Australia,Nottingham,Adil Rashid
226,-1,0,0,0.0,0,0,Australia,Chester-le-Street,Adil Rashid
227,20.0,20,47,42.55,0,0,Australia,Manchester,Adil Rashid
228,22,22,16,137.5,1,1,India,Nottingham,Adil Rashid
229,-1,0,0,0.0,0,0,India,Lord's,Adil Rashid
230,-1,0,0,0.0,0,0,India,Leeds,Adil Rashid
231,-1,0,0,0.0,0,0,Sri Lanka,Dambulla,Adil Rashid
232,19*,19,15,126.66,3,0,Sri Lanka,Dambulla,Adil Rashid
233,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Adil Rashid
234,-1,0,0,0.0,0,0,Sri Lanka,Pallekele,Adil Rashid
235,4,4,8,50.0,0,0,Sri Lanka,Colombo (RPS),Adil Rashid
236,-1,0,0,0.0,0,0,West Indies,Bridgetown,Adil Rashid
237,15,15,19,78.94,3,0,West Indies,Bridgetown,Adil Rashid
238,-1,0,0,0.0,0,0,West Indies,St George's,Adil Rashid
239,-1,0,0,0.0,0,0,West Indies,St George's,Adil Rashid
240,0.0,0,6,0.0,0,0,West Indies,Gros Islet,Adil Rashid
242,-1,0,0,0.0,0,0,Pakistan,The Oval,Adil Rashid
243,-1,0,0,0.0,0,0,Pakistan,Southampton,Adil Rashid
244,12*,12,8,150.0,1,0,Pakistan,Nottingham,Adil Rashid
245,-1,0,0,0.0,0,0,Pakistan,Leeds,Adil Rashid
254,14,14,12,116.66,2,1,Bangladesh,Canberra,Aftab Alam
261,7*,7,2,350.0,0,1,Sri Lanka,Abu Dhabi,Aftab Alam
262,-1,0,0,0.0,0,0,Bangladesh,Abu Dhabi,Aftab Alam
263,-1,0,0,0.0,0,0,Pakistan,Abu Dhabi,Aftab Alam
264,-1,0,0,0.0,0,0,Bangladesh,Abu Dhabi,Aftab Alam
265,2*,2,6,33.33,0,0,India,Dubai (DSC),Aftab Alam
269,66.0,66,60,110.0,4,2,Bangladesh,East London,Aiden Markram
270,9,9,21,42.85,0,0,India,Durban,Aiden Markram
271,8,8,11,72.72,1,0,India,Centurion,Aiden Markram
272,32.0,32,42,76.19,2,1,India,Cape Town,Aiden Markram
273,22,22,23,95.65,3,0,India,Johannesburg,Aiden Markram
274,32.0,32,32,100.0,4,1,India,Port Elizabeth,Aiden Markram
275,24.0,24,30,80.0,3,1,India,Centurion,Aiden Markram
276,0.0,0,1,0.0,0,0,Sri Lanka,Dambulla,Aiden Markram
277,3,3,11,27.27,0,0,Sri Lanka,Dambulla,Aiden Markram
278,20.0,20,13,153.84,5,0,Sri Lanka,Colombo (RPS),Aiden Markram
282,36.0,36,32,112.5,6,0,Australia,Perth,Aiden Markram
283,19,19,17,111.76,2,1,Australia,Adelaide,Aiden Markram
284,32.0,32,42,76.19,1,3,Australia,Hobart,Aiden Markram
285,29,29,32,90.62,3,0,Sri Lanka,Port Elizabeth,Aiden Markram
286,67*,67,75,89.33,7,0,Sri Lanka,Cape Town,Aiden Markram
287,27,27,24,112.5,4,0,England,Brisbane,Alex Carey 
288,6,6,5,120.0,1,0,England,Chester-le-Street,Alex Carey 
289,44.0,44,40,110.0,5,1,England,Manchester,Alex Carey 
290,33,33,71,46.47,2,0,South Africa,Perth,Alex Carey 
291,47,47,72,65.27,4,0,South Africa,Adelaide,Alex Carey 
292,42.0,42,41,102.43,1,1,South Africa,Hobart,Alex Carey 
293,24.0,24,31,77.41,5,0,India,Sydney,Alex Carey 
294,18,18,27,66.66,2,0,India,Adelaide,Alex Carey 
295,5.0,5,11,45.45,1,0,India,Melbourne,Alex Carey 
296,36*,36,37,97.29,5,0,India,Hyderabad (Deccan),Alex Carey 
297,22,22,24,91.66,2,0,India,Nagpur,Alex Carey 
298,21*,21,17,123.52,3,0,India,Ranchi,Alex Carey 
299,21,21,15,140.0,2,0,India,Mohali,Alex Carey 
300,3,3,9,33.33,0,0,India,Delhi,Alex Carey 
301,-1,0,0,0.0,0,0,Pakistan,Sharjah,Alex Carey 
302,-1,0,0,0.0,0,0,Pakistan,Sharjah,Alex Carey 
303,25*,25,21,119.04,0,1,Pakistan,Abu Dhabi,Alex Carey 
304,55.0,55,67,82.08,3,0,Pakistan,Dubai (DSC),Alex Carey 
305,0.0,0,2,0.0,0,0,Pakistan,Dubai (DSC),Alex Carey 
306,40.0,40,63,63.49,5,0,India,Cardiff,Alex Hales
307,42.0,42,55,76.36,5,0,India,Nottingham,Alex Hales
308,6,6,7,85.71,1,0,India,Birmingham,Alex Hales
309,4,4,9,44.44,0,0,India,Leeds,Alex Hales
310,27,27,29,93.1,2,1,Sri Lanka,Hambantota,Alex Hales
311,0.0,0,1,0.0,0,0,Sri Lanka,Colombo (RPS),Alex Hales
312,7,7,15,46.66,0,0,Sri Lanka,Colombo (RPS),Alex Hales
313,27,27,34,79.41,4,0,Bangladesh,Adelaide,Alex Hales
314,37,37,33,112.12,3,2,Afghanistan,Sydney,Alex Hales
316,20.0,20,20,100.0,3,0,New Zealand,Birmingham,Alex Hales
317,54.0,54,49,110.2,6,3,New Zealand,The Oval,Alex Hales
318,23,23,21,109.52,4,0,New Zealand,Southampton,Alex Hales
319,67.0,67,38,176.31,7,4,New Zealand,Nottingham,Alex Hales
320,1,1,3,33.33,0,0,New Zealand,Chester-le-Street,Alex Hales
321,22,22,22,100.0,3,1,Australia,Southampton,Alex Hales
322,18,18,20,90.0,4,0,Australia,Lord's,Alex Hales
323,9,9,31,29.03,1,0,Australia,Manchester,Alex Hales
324,0.0,0,2,0.0,0,0,Australia,Leeds,Alex Hales
325,4,4,12,33.33,1,0,Australia,Manchester,Alex Hales
326,10.0,10,7,142.85,1,0,Pakistan,Abu Dhabi,Alex Hales
327,109.0,109,117,93.16,7,3,Pakistan,Abu Dhabi,Alex Hales
328,30.0,30,49,61.22,2,1,Pakistan,Sharjah,Alex Hales
329,22,22,29,75.86,2,0,Pakistan,Dubai (DSC),Alex Hales
330,57,57,47,121.27,6,2,South Africa,Bloemfontein,Alex Hales
331,99.0,99,124,79.83,8,0,South Africa,Port Elizabeth,Alex Hales
332,65.0,65,73,89.04,8,0,South Africa,Centurion,Alex Hales
333,50.0,50,56,89.28,7,0,South Africa,Johannesburg,Alex Hales
334,112.0,112,128,87.5,14,0,South Africa,Cape Town,Alex Hales
335,4,4,5,80.0,1,0,Sri Lanka,Nottingham,Alex Hales
336,133*,133,110,120.9,10,6,Sri Lanka,Birmingham,Alex Hales
337,0.0,0,1,0.0,0,0,Sri Lanka,Bristol,Alex Hales
338,-1,0,0,0.0,0,0,Sri Lanka,The Oval,Alex Hales
339,7,7,10,70.0,1,0,Pakistan,Southampton,Alex Hales
340,14,14,24,58.33,2,0,Pakistan,Lord's,Alex Hales
341,171,171,122,140.16,22,4,Pakistan,Nottingham,Alex Hales
342,8,8,18,44.44,2,0,Pakistan,Leeds,Alex Hales
343,23,23,15,153.33,5,0,Pakistan,Cardiff,Alex Hales
344,9,9,18,50.0,1,0,India,Pune,Alex Hales
345,14,14,12,116.66,3,0,India,Cuttack,Alex Hales
346,110.0,110,107,102.8,9,5,West Indies,Bridgetown,Alex Hales
349,61,61,60,101.66,8,1,South Africa,Leeds,Alex Hales
350,24.0,24,28,85.71,2,1,South Africa,Southampton,Alex Hales
351,1,1,2,50.0,0,0,South Africa,Lord's,Alex Hales
352,95.0,95,86,110.46,11,2,Bangladesh,The Oval,Alex Hales
353,56.0,56,62,90.32,3,2,New Zealand,Cardiff,Alex Hales
354,0.0,0,4,0.0,0,0,Australia,Birmingham,Alex Hales
355,13,13,13,100.0,2,0,Pakistan,Cardiff,Alex Hales
356,19,19,14,135.71,4,0,West Indies,Manchester,Alex Hales
357,10*,10,7,142.85,2,0,West Indies,Nottingham,Alex Hales
358,36.0,36,35,102.85,5,0,West Indies,Bristol,Alex Hales
359,4,4,3,133.33,1,0,Australia,Melbourne,Alex Hales
360,57,57,60,95.0,7,1,Australia,Brisbane,Alex Hales
361,1,1,8,12.5,0,0,Australia,Sydney,Alex Hales
362,3,3,11,27.27,0,0,Australia,Adelaide,Alex Hales
363,35.0,35,47,74.46,3,1,Australia,Perth,Alex Hales
364,61,61,74,82.43,9,0,New Zealand,Christchurch,Alex Hales
366,5.0,5,10,50.0,1,0,Australia,The Oval,Alex Hales
367,26,26,38,68.42,3,0,Australia,Cardiff,Alex Hales
368,147,147,92,159.78,16,5,Australia,Nottingham,Alex Hales
369,34*,34,45,75.55,3,0,Australia,Chester-le-Street,Alex Hales
370,20.0,20,29,68.96,3,0,Australia,Manchester,Alex Hales
371,12,12,23,52.17,2,0,Sri Lanka,Pallekele,Alex Hales
372,0.0,0,2,0.0,0,0,Sri Lanka,Colombo (RPS),Alex Hales
373,-1,0,0,0.0,0,0,West Indies,St George's,Alex Hales
374,82.0,82,73,112.32,8,2,West Indies,St George's,Alex Hales
375,23,23,35,65.71,4,0,West Indies,Gros Islet,Alex Hales
377,-1,0,0,0.0,0,0,Australia,Centurion,Andile Phehlukwayo
378,13*,13,8,162.5,1,1,Australia,Johannesburg,Andile Phehlukwayo
379,42*,42,39,107.69,4,2,Australia,Durban,Andile Phehlukwayo
380,-1,0,0,0.0,0,0,Australia,Port Elizabeth,Andile Phehlukwayo
381,11,11,9,122.22,0,1,Australia,Cape Town,Andile Phehlukwayo
382,-1,0,0,0.0,0,0,Sri Lanka,Port Elizabeth,Andile Phehlukwayo
383,-1,0,0,0.0,0,0,Sri Lanka,Durban,Andile Phehlukwayo
384,-1,0,0,0.0,0,0,Sri Lanka,Johannesburg,Andile Phehlukwayo
385,-1,0,0,0.0,0,0,Sri Lanka,Centurion,Andile Phehlukwayo
386,29*,29,23,126.08,2,2,New Zealand,Hamilton,Andile Phehlukwayo
387,29*,29,34,85.29,4,0,New Zealand,Christchurch,Andile Phehlukwayo
388,1*,1,1,100.0,0,0,New Zealand,Wellington,Andile Phehlukwayo
389,-1,0,0,0.0,0,0,New Zealand,Auckland,Andile Phehlukwayo
390,4,4,6,66.66,1,0,England,Leeds,Andile Phehlukwayo
391,-1,0,0,0.0,0,0,England,Southampton,Andile Phehlukwayo
392,4,4,11,36.36,0,0,India,The Oval,Andile Phehlukwayo
393,-1,0,0,0.0,0,0,Bangladesh,Kimberley,Andile Phehlukwayo
394,0*,0,0,0.0,0,0,Bangladesh,Paarl,Andile Phehlukwayo
395,5.0,5,4,125.0,1,0,Bangladesh,East London,Andile Phehlukwayo
396,27*,27,33,81.81,1,1,India,Durban,Andile Phehlukwayo
397,3,3,8,37.5,0,0,India,Cape Town,Andile Phehlukwayo
398,23*,23,5,460.0,1,3,India,Johannesburg,Andile Phehlukwayo
399,0.0,0,3,0.0,0,0,India,Port Elizabeth,Andile Phehlukwayo
400,34,34,42,80.95,2,2,India,Centurion,Andile Phehlukwayo
401,-1,0,0,0.0,0,0,Sri Lanka,Dambulla,Andile Phehlukwayo
402,7*,7,19,36.84,1,0,Sri Lanka,Dambulla,Andile Phehlukwayo
403,24*,24,11,218.18,3,1,Sri Lanka,Pallekele,Andile Phehlukwayo
404,9,9,10,90.0,2,0,Sri Lanka,Pallekele,Andile Phehlukwayo
405,3,3,14,21.42,0,0,Sri Lanka,Colombo (RPS),Andile Phehlukwayo
409,-1,0,0,0.0,0,0,Australia,Perth,Andile Phehlukwayo
410,-1,0,0,0.0,0,0,Pakistan,Port Elizabeth,Andile Phehlukwayo
411,69*,69,80,86.25,7,2,Pakistan,Durban,Andile Phehlukwayo
412,-1,0,0,0.0,0,0,Pakistan,Centurion,Andile Phehlukwayo
413,11,11,21,52.38,2,0,Pakistan,Johannesburg,Andile Phehlukwayo
414,-1,0,0,0.0,0,0,Pakistan,Cape Town,Andile Phehlukwayo
415,2,2,5,40.0,0,0,Sri Lanka,Centurion,Andile Phehlukwayo
416,38*,38,15,253.33,5,1,Sri Lanka,Durban,Andile Phehlukwayo
417,-1,0,0,0.0,0,0,Sri Lanka,Port Elizabeth,Andile Phehlukwayo
418,-1,0,0,0.0,0,0,Sri Lanka,Cape Town,Andile Phehlukwayo
420,49,49,46,106.52,2,3,England,Chennai,Andre Russell
421,0.0,0,5,0.0,0,0,India,Chennai,Andre Russell
422,-1,0,0,0.0,0,0,Pakistan,Gros Islet,Andre Russell
423,3,3,9,33.33,0,0,Pakistan,Bridgetown,Andre Russell
424,92*,92,64,143.75,8,5,India,North Sound,Andre Russell
425,25.0,25,14,178.57,3,1,India,North Sound,Andre Russell
426,-1,0,0,0.0,0,0,India,Kingston,Andre Russell
